body,team,down,distance,yardline_team,yardline_num,clock_status,references,explanation
"A 4/7 at the A-40.  Punter A15 kicks the ball towards B1.  B1 signals for a fair catch, misjudges the punt and lets it go over his head.  B1 then proceeds to block A1, at the B-10 preventing A1 from downing the ball before it goes into the end zone.  The ball rolls untouched into the end zone where it is blown dead.       ",B,1,10,B,5,Snap,"6-5-4,6-3-8,2-25-11.b,10-2-3",Rule change for 2022 that this block is now 10 yards versus 15 yards.
"A 4/14 at the A-6.  The snap hits blocking back A44’s thigh and rolls forward.  B55 bats the ball backward from the A-2.  The ball hits B66 on the A-3 and rolls into Team A’s end zone.  A4 picks up the ball 5 yards deep in Team A’s end zone, kicks it, and it is blocked by B1, where it goes out of the back of the end zone.",A,1,10,A,20,Snap,"8-7-1,8-7-2,8-6-1.b,9-4-1.b","The result of the play is a touchback for Team A.  Team B is responsible for putting the ball into Team B’s end zone and even with A4 kicking the ball, the ball never left the end zone after Team B put it in with a legal bat.  Clock will start on the snap.  "
"A 4/14 at the A-6.  The snap hits blocking back A44’s thigh and rolls forward.  B55 bats the ball backward from the A-2.  The ball hits B66 on the A-3 and rolls into Team A’s end zone. A4 picks up the ball just inside the goal line, runs to his right and kicks the ball from the A-1, where it is blocked by B1 and goes out of the back of the end zone.  ",A,FK,,A,20,On legal touch,"8-7-1,8-7-2,8-6-1.b,9-4-1.b,8-5-1","Team B is responsible for the ball being in Team A’s end zone, however, with A4 picking up the ball and running it out of the end zone and subsequently kicking the ball from the field of play, Team A is now responsible for the ball being back in their own end zone (8-7-1, 8-5-1) resulting in a Safety.  "
"A 4/8 at the A-45.  Team A’s punt is caught at the B-26 and returned to the A-3 where the ball is fumbled.  Prone A88 recovers the fumble at the A-5.  During the kick, B66 holds. ",A,1,10,B,45,Snap,"9-3-3,10-2-3,10-2-2.d","Team B fouls during the kick (9-3-3) however, this foul does not qualify for PSK enforcement (10-2-3) as Team B is not in legal possession at the end of the play and will not next snap the ball.  By rule 10-2-2-d-4-a fouls that occur during the kick play that are not governed by PSK enforcement are enforced from the previous spot.  Clock will start on the snap."
A 3/14 at the A-16. A32 takes the handoff at the A-11 yard line. B96 twists and turns A32’s facemask causing him to fumble at that spot. The ball is scooped up at the A-11 yard line by A86 who runs to the A-30 where he is tackled inbounds.,A,1,10,A,31,Ready,9-1-8,"The foul by Team B occurred behind the LOS, therefore the FMM (9-1-8) will be enforced from the previous spot."
"A 2/6 at the B-40.  A88 is out of bounds and leaps from there in an attempt to catch a pass at the B-30.  While A88 is still airborne above the B-30, B15 overtly shoves A88 sideways and intercepts the pass.  B15 is immediately tackled by A82 at the B-30.  ",B,1,10,B,30,Snap,"7-3-8,2-27-15",A88 is an out of bounds player and has not re-established and therefore the potential foul for DPI (7-3-8) is not valid as A88 is an ineligible player.  Clock starts on the snap following the change of possession.
"A 4/10 at the A-45. A1’s punt bounces at the B-2 and crosses the goal line. A10 standing at the B-1 yard line, reaches across the plane of the goal line and bats the ball back into the field of play where a Team B player picks up the ball at the B-4 and runs to the B-16 yard line where he is tackled inbounds. A50 commits a personal foul at the LOS while the ball is in the air. Team B wants the ball.",B,1,10,B,31,Snap,"6-3-13,6-3-11","The personal foul by A50 can be tacked on from the B-16.  It cannot, however, be tacked on from the B-20 (6-3-13, 6-3-11).  The clock will start on the snap.  "
"A 4/3 at the B-48.  Score is A 24 B 21 with 0:07 remaining in the game.   QB A7 drops straight back to the A-40 and as B99 nears him, he throws the ball high and deep so that it lands out of bounds at the B-30 with no eligible receivers anywhere near the area of the pass.   Time expires in the 4th quarter.  ",B,1,10,A,40,Untimed,7-3-2,"A7 commits a foul for ING as he is under duress and still in the tackle box when he throws a pass out of bounds with no eligible receivers in the area (7-3-2).  Per the 2021 rule change, Team B now has the option to extend the game even with the ING foul containing a loss of down. "
"A 3/9 at the B-19.  A17’s pass is intercepted in the end zone by B33.  While attempting to return the ball, B33 is hit while still in the end zone and fumbles the ball into the field of play.  With the ball rolling loose at the B-10, A55 kicks it forward where it contacts the goal line pylon.  ",B,1,10,B,30,Snap,"2-16-1.a,8-7-10-2-2.d,3-3-2.d","The result of the play is a touchback and therefore the basic spot for enforcement of the 10-yard penalty for illegally kicking the ball is the B-20.   The touchback results because of the new impetus given by A55 kicking the ball (2-16-1-a, 8-7-1, 10-2-2-d-2-a, 3-3-2-d)."
"A 1/10 at the B-25.  During the first possession series of Overtime, QB A12 throws a forward pass to A1 at the B-5.  B1 intercepts the pass at the B-5 and returns it for an apparent touchdown.  The HL has a flag down for an illegal formation by Team A and the U has a flag down for a block below the waist by B2 at the A-20 prior to B1 scoring.  ",B,1,10,A,25,Untimed,"3-1-3.g,3-1-3.g","No score for Team B.  The two live ball fouls will cancel, and the down will not be replayed.  Team A’s possession series is over, and Team B will snap the ball at the 25 (3-1-3-g-2 and 3-1-3-g-3)."
